0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Net Points Per Drive,Net Points Per Drive,Net Points Per Drive,Net Points Per Drive,Net Points Per Drive,,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,Offensive Points Per Drive,,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive,Defensive Points Per Drive
Rk,Team,Rec,FBS,NPD,,OPD,Rk,OLD,Rk,OMD,Rk,OSD,Rk,,DPD,Rk,DLD,Rk,DMD,Rk,DSD,Rk
121,UTEP,3-9,3-8,-1.17,,1.22,127,.61,127,1.15,126,2.41,124,,2.39,81,1.92,89,2.01,59,3.26,54
122,San Diego State,3-9,2-9,-1.23,,1.56,119,1.21,95,1.35,123,2.57,117,,2.79,111,2.58,119,2.71,115,3.75,88
123,Ball State,3-9,2-9,-1.30,,2.09,87,1.96,39,1.93,86,3.00,94,,3.38,129,2.58,118,3.32,130,4.27,114
124,Mississippi State,2-10,1-10,-1.31,,2.16,78,1.21,94,2.18,58,3.08,91,,3.47,130,4.14,134,3.24,129,3.56,74
125,Northwestern,4-8,3-8,-1.32,,1.10,132,.73,120,.89,133,2.19,128,,2.42,85,1.69,68,2.33,85,3.42,65
126,New Mexico State,3-9,2-9,-1.34,,1.55,120,.79,117,1.43,118,3.22,84,,2.89,115,2.74,123,3.00,124,2.70,23
127,Florida State,2-10,1-10,-1.47,,1.19,129,1.07,102,1.09,128,2.22,127,,2.65,105,2.17,103,2.33,84,3.88,94
128,Stanford,3-9,2-9,-1.55,,1.65,112,.94,109,1.56,111,2.76,105,,3.19,125,2.07,97,2.75,118,4.91,126
129,Massachusetts,2-10,0-10,-1.70,,1.80,107,.68,123,2.00,78,2.56,121,,3.50,131,3.71,133,2.96,122,4.65,120
130,Middle Tennessee,3-9,2-9,-1.79,,1.57,118,.52,129,1.76,99,2.67,111,,3.36,128,2.07,99,3.53,133,4.74,124
131,Tulsa,3-9,2-9,-1.91,,1.21,128,1.00,104,1.19,124,1.55,134,,3.12,120,2.73,121,2.67,111,4.68,121
132,Southern Mississippi,1-11,0-11,-2.45,,1.10,133,.73,121,1.04,130,2.40,125,,3.55,132,2.28,110,3.63,134,4.14,111
133,Purdue,1-11,0-11,-2.69,,1.14,130,1.71,53,.87,134,3.00,94,,3.84,133,3.65,132,3.37,131,5.61,133
134,Kent State,0-12,0-11,-2.84,,1.02,134,.77,118,.95,131,2.10,131,,3.86,134,3.17,128,3.42,132,5.00,128
